"ISO3","Version","Gas","Year","Category","CFluxes_yr"
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2009,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2009,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2009,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2009,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2010,"LULUCF",1.64196
"ALB","V1.0 (NGHGI 2023)","CO2",2010,"FOREST",-2.16471
"ALB","V1.0 (NGHGI 2023)","CO2",2010,"DEFORESTATION",3.80667
"ALB","V1.0 (NGHGI 2023)","CO2",2010,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2011,"LULUCF",4.37154
"ALB","V1.0 (NGHGI 2023)","CO2",2011,"FOREST",-2.16428
"ALB","V1.0 (NGHGI 2023)","CO2",2011,"DEFORESTATION",6.53582
"ALB","V1.0 (NGHGI 2023)","CO2",2011,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2012,"LULUCF",5.35358
"ALB","V1.0 (NGHGI 2023)","CO2",2012,"FOREST",-2.1619
"ALB","V1.0 (NGHGI 2023)","CO2",2012,"DEFORESTATION",7.51548
"ALB","V1.0 (NGHGI 2023)","CO2",2012,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2013,"LULUCF",1.34493
"ALB","V1.0 (NGHGI 2023)","CO2",2013,"FOREST",-2.15984
"ALB","V1.0 (NGHGI 2023)","CO2",2013,"DEFORESTATION",3.50477
"ALB","V1.0 (NGHGI 2023)","CO2",2013,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2014,"LULUCF",1.22461
"ALB","V1.0 (NGHGI 2023)","CO2",2014,"FOREST",-2.15984
"ALB","V1.0 (NGHGI 2023)","CO2",2014,"DEFORESTATION",3.38445
"ALB","V1.0 (NGHGI 2023)","CO2",2014,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2015,"LULUCF",1.27185
"ALB","V1.0 (NGHGI 2023)","CO2",2015,"FOREST",-2.15703
"ALB","V1.0 (NGHGI 2023)","CO2",2015,"DEFORESTATION",3.42888
"ALB","V1.0 (NGHGI 2023)","CO2",2015,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2016,"LULUCF",1.34557
"ALB","V1.0 (NGHGI 2023)","CO2",2016,"FOREST",-2.16158
"ALB","V1.0 (NGHGI 2023)","CO2",2016,"DEFORESTATION",3.50715
"ALB","V1.0 (NGHGI 2023)","CO2",2016,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2017,"LULUCF",1.34557
"ALB","V1.0 (NGHGI 2023)","CO2",2017,"FOREST",-2.16158
"ALB","V1.0 (NGHGI 2023)","CO2",2017,"DEFORESTATION",3.50715
"ALB","V1.0 (NGHGI 2023)","CO2",2017,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2018,"LULUCF",1.34557
"ALB","V1.0 (NGHGI 2023)","CO2",2018,"FOREST",-2.16158
"ALB","V1.0 (NGHGI 2023)","CO2",2018,"DEFORESTATION",3.50715
"ALB","V1.0 (NGHGI 2023)","CO2",2018,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2019,"LULUCF",1.34557
"ALB","V1.0 (NGHGI 2023)","CO2",2019,"FOREST",-2.16158
"ALB","V1.0 (NGHGI 2023)","CO2",2019,"DEFORESTATION",3.50715
"ALB","V1.0 (NGHGI 2023)","CO2",2019,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2020,"LULUCF",1.34557
"ALB","V1.0 (NGHGI 2023)","CO2",2020,"FOREST",-2.16158
"ALB","V1.0 (NGHGI 2023)","CO2",2020,"DEFORESTATION",3.50715
"ALB","V1.0 (NGHGI 2023)","CO2",2020,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2021,"LULUCF",1.34557
"ALB","V1.0 (NGHGI 2023)","CO2",2021,"FOREST",-2.16158
"ALB","V1.0 (NGHGI 2023)","CO2",2021,"DEFORESTATION",3.50715
"ALB","V1.0 (NGHGI 2023)","CO2",2021,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2022,"LULUCF",1.34557
"ALB","V1.0 (NGHGI 2023)","CO2",2022,"FOREST",-2.16158
"ALB","V1.0 (NGHGI 2023)","CO2",2022,"DEFORESTATION",3.50715
"ALB","V1.0 (NGHGI 2023)","CO2",2022,"OTHER",0
"DZA","V1.0 (NGHGI 2023)","CO2",2000,"LULUCF",-2.55643
"DZA","V1.0 (NGHGI 2023)","CO2",2000,"FOREST",-2.55643
"DZA","V1.0 (NGHGI 2023)","CO2",2000,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2001,"LULUCF",-7.44668
"DZA","V1.0 (NGHGI 2023)","CO2",2001,"FOREST",-7.44668
"DZA","V1.0 (NGHGI 2023)","CO2",2001,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2002,"LULUCF",-7.83697
"DZA","V1.0 (NGHGI 2023)","CO2",2002,"FOREST",-7.83697
"DZA","V1.0 (NGHGI 2023)","CO2",2002,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2003,"LULUCF",-7.68283
"DZA","V1.0 (NGHGI 2023)","CO2",2003,"FOREST",-7.68283
"DZA","V1.0 (NGHGI 2023)","CO2",2003,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2004,"LULUCF",-5.51552
"DZA","V1.0 (NGHGI 2023)","CO2",2004,"FOREST",-5.51552
"DZA","V1.0 (NGHGI 2023)","CO2",2004,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2005,"LULUCF",-5.67552
"DZA","V1.0 (NGHGI 2023)","CO2",2005,"FOREST",-5.67552
"DZA","V1.0 (NGHGI 2023)","CO2",2005,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2006,"LULUCF",-7.12629
